,word,audio_complexity,position,sentence,start_time,end_time,set_manually,process,translation,word_occurrence,word_complexity,sentence_complexity,word_importance,sentence_group,speed,speech_volume,ambient_volume,occurrence,display
0,freedom,0.48779296875,1,Freedom... ...comes at a price.,3.7600000000000007,4.2,False,True,Freiheit,0.0,0.2,0.548678270726634,0.9999976753479132,1,0.4630305549679925,0.8824402689933777,0.9573037347780852,0.0,False
1,comes,0.2646484375,2,Freedom... ...comes at a price.,4.2,4.64,False,True,kommt,0.0,0.0,0.548678270726634,0.9845962524414062,1,0.4630305549679925,0.8824402689933777,0.0,0.0,False
2,at,0.587158203125,3,Freedom... ...comes at a price.,4.64,4.8,False,True,zu,0.0,0.0,0.548678270726634,0.993682861328125,1,0.4630305549679925,0.8824402689933777,0.0,0.0,False
3,a,0.02978515625,4,Freedom... ...comes at a price.,4.8,4.84,False,True,einem,0.0,0.0,0.548678270726634,0.9944229125976562,1,0.4630305549679925,0.8824402689933777,0.0,0.0,False
4,price,0.0029296875,5,Freedom... ...comes at a price.,4.84,5.38,False,True,Preis,0.0,0.2,0.548678270726634,0.40625,1,0.4630305549679925,0.8824402689933777,0.0,0.0,False
5,so,0.12890625,1,"So, I'm down a point?",6.42,6.42,True,True,Also,0.0,0.2,0.5281459804866494,0.70849609375,2,0.7263516699190136,1.3765286207199097,0.0,,False
6,i'm,0.100830078125,2,"So, I'm down a point?",6.42,6.64,False,True,bin,0.0,0.0,0.5281459804866494,0.42724609375,2,0.7263516699190136,1.3765286207199097,0.0,0.0,False
7,down,0.0107421875,3,"So, I'm down a point?",6.64,6.98,False,True,unten,0.0,0.2,0.5281459804866494,0.01611328125,2,0.7263516699190136,1.3765286207199097,0.0,0.0,False
8,a,1.0,4,"So, I'm down a point?",7.1,7.26,False,True,einen,0.0714285714285714,0.0,0.5281459804866494,0.86962890625,2,0.7263516699190136,1.3765286207199097,0.0,1.0,False
9,point,0.44580078125,5,"So, I'm down a point?",7.26,7.26,False,True,Punkt,0.0,0.2,0.5281459804866494,0.9999986290931702,2,0.7263516699190136,1.3765286207199097,0.9621914208712152,0.0,False
10,nine,1.0,1,Nine and a half.,7.42,7.58,False,True,Neuneinhalb,0.0,0.0,0.4796799805573106,0.9999961113280732,3,0.7549149868676278,1.818453431129456,0.0,0.0,False
11,and,1.0,2,Nine and a half.,7.58,7.74,False,True,und,0.0,0.0,0.4796799805573106,0.01025390625,3,0.7549149868676278,1.818453431129456,0.0,0.0,False
12,a,1.0,3,Nine and a half.,7.74,7.88,False,True,Neuneinhalb,0.1428571428571428,0.0,0.4796799805573106,0.02490234375,3,0.7549149868676278,1.818453431129456,0.0,2.0,False
13,half,0.55810546875,4,Nine and a half.,7.88,8.06,False,True,Neuneinhalb,0.0,0.2,0.4796799805573106,0.35888671875,3,0.7549149868676278,1.818453431129456,0.0659530003520324,0.0,False
14,bad,0.6865234375,1,Bad day?,8.3,8.52,False,True,Schlechter,0.0,0.0,0.3676099712875797,0.9995598793029784,4,0.4044163881368788,0.8655441999435425,0.0,0.0,False
15,day,0.04150390625,2,Bad day?,8.52,8.92,False,True,Tag,0.0,0.0,0.3676099712875797,0.9980258941650392,4,0.4044163881368788,0.8655441999435425,0.2739688289098289,0.0,False
16,goddamn,1.0,1,Goddamn it.,,,False,True,Verdammt,0.0,1.0,0.4131784828175429,0.9999999987641388,5,0.7549149868676278,0.2120512127876281,0.0,0.0,False
17,it,0.0791015625,2,Goddamn it.,10.16,10.32,False,True,es,0.0,0.2,0.4131784828175429,0.48974609375,5,0.7549149868676278,0.2120512127876281,0.0,0.0,False
18,hey,0.11572265625,1,"Hey, I'm with you.",10.34,10.56,False,True,Hey,0.0,0.2,0.5068124393206179,0.97772216796875,6,0.4466326272003467,0.942387044429779,0.0,0.0,False
19,i'm,0.036376953125,2,"Hey, I'm with you.",10.74,10.74,False,True,ich bin,0.0714285714285714,0.0,0.5068124393206179,0.32763671875,6,0.4466326272003467,0.942387044429779,0.0,1.0,False
20,with,0.671875,3,"Hey, I'm with you.",10.74,11.06,False,True,bei,0.0,0.0,0.5068124393206179,0.0341796875,6,0.4466326272003467,0.942387044429779,0.0,0.0,False
21,you,0.00390625,4,"Hey, I'm with you.",11.06,11.46,False,True,dir,0.0,0.0,0.5068124393206179,0.29833984375,6,0.4466326272003467,0.942387044429779,0.0,0.0,False
22,but,0.21630859375,1,"But you know, there's a way to handle it.",11.62,11.8,False,True,Aber,0.0,0.2,0.6087593193261762,0.717041015625,7,0.726351669919013,0.6081722378730774,0.4268004782042848,0.0,False
23,you,0.28759765625,2,"But you know, there's a way to handle it.",11.8,11.88,False,True,Sie,0.0714285714285714,0.0,0.6087593193261762,0.06640625,7,0.726351669919013,0.6081722378730774,0.214882663164337,1.0,False
24,know,0.00146484375,3,"But you know, there's a way to handle it.",11.88,11.98,False,True,wissen,0.0,0.0,0.6087593193261762,0.42431640625,7,0.726351669919013,0.6081722378730774,0.2063028925820529,0.0,False
25,there's,0.003662109375,4,"But you know, there's a way to handle it.",11.98,12.18,False,True,es gibt,0.0,0.0,0.6087593193261762,0.0771484375,7,0.726351669919013,0.6081722378730774,0.0,0.0,False
26,a,0.04248046875,5,"But you know, there's a way to handle it.",12.18,12.28,False,True,einen,0.2142857142857142,0.0,0.6087593193261762,0.197265625,7,0.726351669919013,0.6081722378730774,0.0,3.0,False
27,way,0.00244140625,6,"But you know, there's a way to handle it.",12.28,12.4,False,True,Weg,0.0,0.0,0.6087593193261762,0.30322265625,7,0.726351669919013,0.6081722378730774,0.0,0.0,False
28,to,0.00146484375,7,"But you know, there's a way to handle it.",12.4,12.54,False,True,Weg,0.0,0.0,0.6087593193261762,0.7421875,7,0.726351669919013,0.6081722378730774,0.0,0.0,False
29,handle,0.2861328125,8,"But you know, there's a way to handle it.",12.54,12.96,False,True,umzugehen,0.0,0.2,0.6087593193261762,0.23583984375,7,0.726351669919013,0.6081722378730774,0.0,0.0,False
